Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.93    0.00    0.94    0.82    0.00   96.31

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           43.87    604.28     0.00   0.00    0.15    13.78   47.82    347.17     0.00   0.00    2.85     7.26    0.00      0.00     0.00   0.00    0.00     0.00   11.31   11.59    0.27  13.90
loop1            8.03     81.04     0.00   0.00    0.06    10.09    5.02     19.17     0.00   0.00    0.29     3.82    0.00      0.00     0.00   0.00    0.00     0.00    0.38    2.87    0.00   0.18
loop10           1.56     12.19     0.00   0.00    0.21     7.81    1.00      3.75     0.00   0.00    0.48     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.09    4.20    0.00   0.05
loop11           1.39     10.81     0.00   0.00    0.41     7.80    0.89      3.33     0.00   0.00    0.47     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.08    4.36    0.00   0.05
loop12           0.88      6.82     0.00   0.00    0.20     7.76    0.56      2.08     0.00   0.00    0.54     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.05    5.23    0.00   0.03
loop13           0.17      1.35     0.00   0.00    0.03     7.81    0.11      0.42     0.00   0.00    0.55     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.01    6.36    0.00   0.01
loop2            7.23     78.84     0.00   0.00    0.08    10.90    4.48     17.09     0.00   0.00    0.30     3.81    0.00      0.00     0.00   0.00    0.00     0.00    0.35    2.93    0.00   0.16
loop3            6.31     59.78     0.00   0.00    0.12     9.48    3.94     14.99     0.00   0.00    0.32     3.80    0.00      0.00     0.00   0.00    0.00     0.00    0.32    3.02    0.00   0.15
loop4            5.10     50.93     0.00   0.00    0.12     9.98    3.19     12.09     0.00   0.00    0.35     3.79    0.00      0.00     0.00   0.00    0.00     0.00    0.27    3.20    0.00   0.13
loop5            4.23     47.04     0.00   0.00    0.18    11.12    2.64      9.99     0.00   0.00    0.36     3.78    0.00      0.00     0.00   0.00    0.00     0.00    0.23    3.26    0.00   0.11
