Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.11    0.00    1.00    0.89    0.00   96.01

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           46.55    633.46     0.00   0.00    0.14    13.61   45.53    328.74     0.00   0.00    3.21     7.22    0.00      0.00     0.00   0.00    0.00     0.00   10.80   13.07    0.29  14.93
loop1            8.10     87.87     0.00   0.00    0.05    10.84    5.05     19.25     0.00   0.00    0.31     3.81    0.00      0.00     0.00   0.00    0.00     0.00    0.39    3.03    0.00   0.19
loop10           1.96     15.41     0.00   0.00    0.17     7.84    1.26      4.72     0.00   0.00    0.48     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.12    4.39    0.00   0.07
loop11           1.80     14.40     0.00   0.00    0.31     8.01    1.16      4.32     0.00   0.00    0.48     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.10    4.54    0.00   0.06
loop12           1.32     10.25     0.00   0.00    0.17     7.78    0.84      3.14     0.00   0.00    0.51     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.07    5.00    0.00   0.05
loop13           0.65      5.10     0.00   0.00    0.02     7.82    0.42      1.57     0.00   0.00    0.49     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.04    5.04    0.00   0.02
loop14           0.33      2.56     0.00   0.00    0.10     7.79    0.21      0.79     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.96    0.00   0.01
loop2            7.32     80.78     0.00   0.00    0.08    11.03    4.55     17.30     0.00   0.00    0.32     3.81    0.00      0.00     0.00   0.00    0.00     0.00    0.36    3.10    0.00   0.17
loop3            6.46     65.16     0.00   0.00    0.11    10.09    4.03     15.31     0.00   0.00    0.34     3.80    0.00      0.00     0.00   0.00    0.00     0.00    0.33    3.18    0.00   0.16
loop4            5.31     51.89     0.00   0.00    0.12     9.77    3.32     12.58     0.00   0.00    0.37     3.79    0.00      0.00     0.00   0.00    0.00     0.00    0.28    3.39    0.00   0.14
loop5            4.48     49.91     0.00   0.00    0.17    11.15    2.81     10.60     0.00   0.00    0.38     3.77    0.00      0.00     0.00   0.00    0.00     0.00    0.24    3.45    0.00   0.12
loop6            3.46     34.63     0.00   0.00    0.17    10.01    2.20      8.27     0.00   0.00    0.41     3.76    0.00      0.00     0.00   0.00    0.00     0.00    0.20    3.63    0.00   0.10
loop7            2.79     21.74     0.00   0.00    0.22     7.79    1.78      6.69     0.00   0.00    0.44     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.17    3.82    0.00   0.09
