procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 126888200 131788 3058356    0    0    32  1677   66   84  1  1 97  1  0
 2  0      0 126366840 131788 3579744    0    0     0     0 1779  389  0  3 97  0  0
 1  3      0 126327576 132320 3614672    0    0 60013 464240 2095 2139  0  1 91  8  0
 1  0      0 125931432 131812 4012604    0    0   400 93760 2296  730  0  3 96  2  0
 0  2      0 125762592 131956 4181188    0    0  1189 359372 1902  711  0  1 95  4  0
 2  0      0 125471784 131836 4473384    0    0  1176 198188 2165  974  0  2 96  2  0
 1  2      0 125193832 131980 4751688    0    0  1189 274392 1520  586  0  2 95  3  0
 2  0      0 125000320 131860 4943772    0    0  1176 283168 2005  894  0  2 95  4  0
 2  1      0 124620856 132016 5323480    0    0  1189 167452 1570  708  0  2 96  2  0
 2  0      0 124523848 131896 5420928    0    0  1176 390120 2546  859  0  1 94  5  0
 1  1      0 124049896 132040 5894348    0    0  1189 77988 1603  647  0  3 96  1  0
 0  0      0 124048400 131920 5895416    0    0  1176 479576 2211  862  0  1 94  6  0
 1  0      0 123506928 131920 6435824    0    0     0     0 1339  505  0  3 97  0  0
 0  2      0 123476192 132064 6467200    0    0  1189 493348 2001  616  0  1 94  5  0
 1  0      0 123035504 131944 6907848    0    0  1176 64224 1993  938  0  3 96  1  0
 1  1      0 122903216 132088 7039084    0    0  1189 394532 2156  733  0  1 94  4  0
 1  0      0 122566576 131968 7378296    0    0  1176 163176 2086 1066  0  2 96  2  0
 0  2      0 122334776 132112 7610976    0    0  1189 298164 1841  674  0  2 95  3  0
 1  0      0 122111024 131992 7837448    0    0  1176 259412 2078  922  0  2 95  3  0
 0  2      0 121765104 132136 8182164    0    0  1189 198164 1834  659  0  2 96  2  0
 1  0      0 121644896 132016 8304956    0    0  1176 359452 2440 1461  0  1 95  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 121194656 132160 8753220    0    0  1189 108400 1517  615  0  3 96  1  0
 1  0      0 121166192 132040 8783000    0    0  1176 449168 2090  917  0  1 94  5  0
 1  1      0 120621024 132184 9325712    0    0  1189  6044 1669  553  0  3 97  0  0
 0  2      0 120620776 132184 9325960    0    0     0 511004 1959  363  0  0 94  6  0
 0  0      0 120610880 132064 9326612    0    0  1176 40540 4199 5416  0  1 98  1  0
 0  0      0 120610880 132064 9326624    0    0     0     0  408  231  0  0 100  0  0
 0  0      0 120610880 132064 9326624    0    0     0     0  370  136  0  0 100  0  0
 0  0      0 120610880 132064 9326628    0    0     0     0  489  216  0  0 100  0  0
 0  0      0 120610880 132064 9326632    0    0     0     0  255   76  0  0 100  0  0
 0  0      0 120610880 132072 9326636    0    0     0   628  467  218  0  0 100  0  0
 0  0      0 120610880 132072 9326644    0    0     0     0  243   81  0  0 100  0  0
 0  0      0 120610880 132072 9326660    0    0     0     0  303  171  0  0 100  0  0
 0  0      0 120610880 132072 9326660    0    0     0     0  283   91  0  0 100  0  0
 0  0      0 120610880 132072 9326660    0    0     0     0  186   73  0  0 100  0  0
23  0      0 119756352 132080 9326704    0    0     0   532 15981 47915 11 11 78  0  0
13  0      0 118880144 132080 9331504    0    0     0     0 25848 57299 47  6 47  0  0
11  0      0 118876112 132080 9331516    0    0     0     0 8074 2295 34  1 65  0  0
22  0      0 118798752 132080 9331516    0    0     0     0 11458 2742 57  0 42  0  0
 0  0      0 120615160 132140 9348428    0    0  7014 44776 15235 18048 27  3 69  1  0
 0  0      0 120586432 132220 9347692    0    0 40704 30596 12770 17703  1  3 94  2  0
 0  0      0 120584464 132220 9348216    0    0  5348     0 5307 4319  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 124575456 132220 5355816    0    0     0     0 1667  600  0  3 97  0  0
