Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.87    0.00    0.92    0.80    0.00   96.41

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           42.95    594.35     0.00   0.00    0.15    13.84   48.62    353.58     0.00   0.00    2.73     7.27    0.00      0.00     0.00   0.00    0.00     0.00   11.48   11.10    0.27  13.55
loop1            8.02     81.28     0.00   0.00    0.05    10.14    5.00     19.12     0.00   0.00    0.28     3.82    0.00      0.00     0.00   0.00    0.00     0.00    0.38    2.79    0.00   0.17
loop10           1.42     11.05     0.00   0.00    0.23     7.81    0.91      3.40     0.00   0.00    0.47     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.09    3.94    0.00   0.05
loop11           1.24      9.66     0.00   0.00    0.46     7.81    0.80      2.98     0.00   0.00    0.45     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.07    4.06    0.00   0.04
loop12           0.72      5.56     0.00   0.00    0.23     7.76    0.46      1.70     0.00   0.00    0.53     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.04    4.88    0.00   0.03
loop2            7.20     79.01     0.00   0.00    0.08    10.98    4.46     17.01     0.00   0.00    0.30     3.82    0.00      0.00     0.00   0.00    0.00     0.00    0.35    2.84    0.00   0.16
loop3            6.25     59.58     0.00   0.00    0.12     9.53    3.91     14.86     0.00   0.00    0.31     3.81    0.00      0.00     0.00   0.00    0.00     0.00    0.32    2.91    0.00   0.14
loop4            5.03     50.57     0.00   0.00    0.13    10.05    3.13     11.90     0.00   0.00    0.34     3.80    0.00      0.00     0.00   0.00    0.00     0.00    0.27    3.09    0.00   0.12
loop5            4.14     46.60     0.00   0.00    0.19    11.26    2.58      9.77     0.00   0.00    0.35     3.79    0.00      0.00     0.00   0.00    0.00     0.00    0.22    3.11    0.00   0.10
loop6            3.02     27.87     0.00   0.00    0.20     9.23    1.92      7.23     0.00   0.00    0.38     3.77    0.00      0.00     0.00   0.00    0.00     0.00    0.18    3.28    0.00   0.08
loop7            2.30     17.96     0.00   0.00    0.27     7.81    1.47      5.53     0.00   0.00    0.41     3.76    0.00      0.00     0.00   0.00    0.00     0.00    0.14    3.40    0.00   0.07
loop8            1.77     13.83     0.00   0.00    0.33     7.80    1.14      4.26     0.00   0.00    0.41     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.11    3.39    0.00   0.05
loop9            1.41     11.01     0.00   0.00    0.38     7.83    0.91      3.39     0.00   0.00    0.46     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.09    3.76    0.00   0.04
sda              4.63    144.94     1.72  27.16    0.26    31.33  171.14  66342.77   382.32  69.08   12.47   387.66    4.99  24899.21     0.00   0.00    0.17  4988.79    0.00    0.00    2.14  14.10
sdb              0.08      1.48     0.00   0.00    0.19    18.90    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.00    0.00    3.44    0.44    0.00   96.12

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop10           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop11           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop12           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop2            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop3            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
