Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.75    0.00    0.88    0.76    0.00   96.62

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           40.91    572.93     0.00   0.00    0.16    14.01   50.16    366.49     0.00   0.00    2.51     7.31    0.00      0.00     0.00   0.00    0.00     0.00   11.85   10.15    0.25  12.82
loop1            7.98     81.69     0.00   0.00    0.06    10.24    4.97     19.01     0.00   0.00    0.27     3.83    0.00      0.00     0.00   0.00    0.00     0.00    0.38    2.64    0.00   0.17
loop10           1.11      8.63     0.00   0.00    0.25     7.80    0.71      2.65     0.00   0.00    0.45     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.07    3.78    0.00   0.03
loop11           0.92      7.18     0.00   0.00    0.25     7.81    0.59      2.22     0.00   0.00    0.43     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.06    3.77    0.00   0.03
loop12           0.37      2.88     0.00   0.00    0.32     7.78    0.24      0.88     0.00   0.00    0.54     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.02    5.17    0.00   0.01
loop2            7.12     79.35     0.00   0.00    0.07    11.14    4.40     16.81     0.00   0.00    0.28     3.82    0.00      0.00     0.00   0.00    0.00     0.00    0.34    2.70    0.00   0.15
loop3            6.14     59.12     0.00   0.00    0.12     9.63    3.83     14.58     0.00   0.00    0.30     3.81    0.00      0.00     0.00   0.00    0.00     0.00    0.31    2.77    0.00   0.14
loop4            4.86     49.73     0.00   0.00    0.12    10.23    3.03     11.50     0.00   0.00    0.32     3.80    0.00      0.00     0.00   0.00    0.00     0.00    0.26    2.94    0.00   0.11
loop5            3.94     45.63     0.00   0.00    0.14    11.58    2.45      9.28     0.00   0.00    0.33     3.79    0.00      0.00     0.00   0.00    0.00     0.00    0.21    2.94    0.00   0.09
loop6            2.77     26.13     0.00   0.00    0.18     9.43    1.76      6.64     0.00   0.00    0.36     3.78    0.00      0.00     0.00   0.00    0.00     0.00    0.16    3.11    0.00   0.07
loop7            2.02     15.81     0.00   0.00    0.20     7.81    1.29      4.87     0.00   0.00    0.39     3.77    0.00      0.00     0.00   0.00    0.00     0.00    0.12    3.22    0.00   0.05
loop8            1.47     11.49     0.00   0.00    0.25     7.81    0.95      3.55     0.00   0.00    0.38     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.09    3.17    0.00   0.04
loop9            1.10      8.60     0.00   0.00    0.29     7.83    0.71      2.64     0.00   0.00    0.43     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.07    3.57    0.00   0.03
sda              4.81    150.81     1.79  27.16    0.26    31.33  162.20  62765.28   380.94  70.14   12.45   386.97    5.19  25908.00     0.00   0.00    0.17  4988.79    0.00    0.00    2.02  13.41
sdb              0.08      1.54     0.00   0.00    0.19    18.90    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    3.28    0.00    0.00   96.69

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
