procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 126931056 120764 3041396    0    0    26  1101   58   77  1  1 98  0  0
 2  0      0 126409720 120784 3562732    0    0     0     0 2088  404  0  3 97  0  0
 1  2      0 126371920 120928 3600356    0    0  1193 477772 2008  577  0  1 94  5  0
 1  0      0 125944832 120808 4026884    0    0  1176 80036 2102 1060  0  3 96  1  0
 0  2      0 125799704 120952 4171516    0    0  1189 389224 1644  604  0  1 95  4  0
 2  0      0 125482472 120832 4491180    0    0  1176 168348 2087  871  0  2 96  2  0
 1  2      0 125230000 120976 4743584    0    0  1189 290632 1519  654  0  2 95  3  0
 2  0      0 125017840 120856 4956896    0    0  1176 266932 2115 1001  0  2 95  3  0
 1  2      0 124658040 121000 5315428    0    0  1189 198164 1713  660  0  2 96  2  0
 2  0      0 124547664 120880 5424928    0    0  1176 359412 2514 1018  0  1 95  4  0
 0  2      0 124084800 121104 5887324    0    0  1189 91944 1559  666  0  3 96  1  0
 1  0      0 124084296 120984 5887448    0    0  1176 465640 2209  950  0  1 94  5  0
 1  0      0 123535504 120984 6436324    0    0     0     0 1090  367  0  3 97  0  0
 0  2      0 123513088 121128 6459240    0    0  1189 493348 1977  636  0  1 94  5  0
 1  0      0 123084224 121008 6887976    0    0  1176 64272 1916  982  0  3 96  1  0
 0  2      0 122940368 121152 7031036    0    0  1189 374588 1862  656  0  1 95  4  0
 1  0      0 122618896 121352 7350408    0    0  1176 182996 2366  928  0  2 96  2  0
 0  2      0 122364192 121788 7603248    0    0  1189 292920 1511  599  0  2 95  3  0
 0  0      0 122352528 121668 7603060    0    0  1176 264720 4203 4172  0  1 95  3  0
 0  0      0 122352528 121668 7603064    0    0     0     0  354  194  0  0 100  0  0
 0  0      0 122351952 121668 7603088    0    0     0     0  291  123  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 122352960 121668 7603088    0    0     0     0  326  102  0  0 100  0  0
 0  0      0 122352976 121668 7603092    0    0     0     0  396  124  0  0 100  0  0
 0  0      0 122352736 121676 7603088    0    0     0   532  564  235  0  0 100  0  0
 0  0      0 122352736 121676 7603104    0    0     0     0  347   96  0  0 100  0  0
 0  0      0 122352736 121676 7603108    0    0     0     0  441   78  0  0 100  0  0
 0  0      0 122352736 121676 7603112    0    0     0     0  443   70  0  0 100  0  0
 0  0      0 122352736 121676 7603116    0    0     0     0  383  144  0  0 100  0  0
 2  0      0 121971616 121684 7603360    0    0     0   356 5400 3203  3  4 93  0  0
 8  0      0 121122456 121724 7608940    0    0     0     0 24192 73939 28  8 64  0  0
 8  0      0 121106576 121724 7609060    0    0     0     0 6320 2339 25  0 75  0  0
16  0      0 121052656 121724 7609068    0    0     0     0 7405 2563 33  0 66  0  0
 1  0      0 122351744 122068 7618916    0    0 29257 48856 17839 22426 28  4 64  4  0
 0  0      0 122344384 121784 7618892    0    0  9359     0 6934 5103  0  1 99  0  0
 1  0      0 125689624 121784 4275916    0    0     0     0 2053  988  0  3 97  0  0
