procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 126788928 145928 3095224    0    0    39  2307   77   97  2  1 96  1  0
 3  0      0 126281048 146044 3601632    0    0     0 201620 2935  907  0  4 95  1  0
 2  0      0 126123680 146144 3765736    0    0  2365 358876 6375 20359  0  2 93  5  0
 1  2      0 125679920 146288 4209896    0    0  1189 91944 1399  632  0  3 96  1  0
 2  0      0 125677680 146168 4217640    0    0  1176 465636 2360  872  0  1 94  5  0
 1  0      0 125130080 146168 4765244    0    0     0     0 1219  314  0  3 97  0  0
 1  2      0 125113952 146312 4780316    0    0  1189 504404 2089  625  0  1 94  5  0
 2  0      0 124663128 146192 5233060    0    0  1176 53172 2453 1095  0  3 96  1  0
 1  2      0 124545696 146336 5350808    0    0  1189 404448 1953  643  0  1 94  4  0
 2  0      0 124187856 146212 5705808    0    0  1176 153160 1948  975  0  2 96  2  0
 1  1      0 123972416 146356 5921720    0    0  1189 321184 1853  620  0  2 95  3  0
 1  0      0 123725248 146236 6168920    0    0  1176 236380 2317  997  0  2 95  3  0
 1  1      0 123402216 146380 6493268    0    0  1189 217528 1460  610  0  2 96  2  0
 1  0      0 123257584 146260 6637368    0    0  1176 340076 2436  977  0  1 95  4  0
 1  1      0 122829504 146404 7065124    0    0  1189 109732 1340  665  0  3 96  1  0
 1  0      0 122809856 146284 7088572    0    0  1176 447864 2190  948  0  1 94  5  0
 1  1      0 122261312 146428 7635916    0    0  1189     4 1356  613  0  3 97  0  0
 0  2      0 122261056 146428 7636920    0    0     0 517044 1804  311  0  0 94  6  0
 1  0      0 121798192 146304 8097436    0    0  1176 40540 2039  961  0  3 97  1  0
 0  2      0 121687328 146448 8208584    0    0  1189 410132 1766  684  0  1 94  5  0
 1  0      0 121331552 146320 8566156    0    0  1176 147456 2252 1042  0  2 96  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 121118416 146464 8780300    0    0  1189 320032 1732  651  0  2 95  3  0
 1  0      0 120864448 146328 9032588    0    0  1176 237596 2332 1006  0  2 95  3  0
 0  2      0 120544944 146472 9352096    0    0  1189 223492 1531  666  0  2 96  2  0
 1  0      0 120398048 146348 9499464    0    0  1176 334132 2333  957  0  1 95  4  0
 0  2      0 119973216 146492 9924488    0    0  1189 141744 1560  588  0  3 96  1  0
 1  0      0 119943744 146352 9955220    0    0  1176 415884 2252  856  0  1 94  5  0
 0  2      0 119402256 146496 10495676    0    0  1189 44892 1430  707  0  3 97  0  0
 1  1      0 119402256 146496 10496200    0    0     0 474132 1661  310  0  0 94  6  0
 1  0      0 118921040 146368 10977168    0    0  1176 38572 1695  930  0  3 97  1  0
 0  2      0 118828576 146512 11068112    0    0  1189 426180 1862  644  0  1 94  5  0
 1  0      0 118454976 146392 11442468    0    0  1176 131400 2034  970  0  2 96  2  0
 0  2      0 118257216 146536 11640016    0    0  1189 330924 1840  603  0  2 95  4  0
 0  0      0 118245920 146412 11640164    0    0  1176 226672 5670 7404  0  2 95  3  0
 0  0      0 118245680 146412 11640172    0    0     0     0 2637  463  0  0 100  0  0
 0  0      0 118245680 146412 11640180    0    0     0     0 1253  226  0  0 100  0  0
 0  0      0 118245680 146412 11640188    0    0     0     0 2072  246  0  0 100  0  0
 0  0      0 118249216 146412 11640196    0    0     0     0 2087  293  0  0 100  0  0
 0  0      0 118249248 146420 11640200    0    0     0   712 2545  419  0  0 100  0  0
 1  0      0 118249008 146424 11640208    0    0     4     0 1691  331  0  0 100  0  0
 0  0      0 118249008 146424 11640212    0    0     0     0 1554  203  0  0 100  0  0
 0  0      0 118249008 146424 11640220    0    0     0     0 1532  237  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 118249008 146424 11640228    0    0     0     0 1842  207  0  0 100  0  0
15  0      0 117532192 146432 11640412    0    0     0   492 7378 4631  5  8 87  0  0
27  0      0 116200352 146432 11647120    0    0     0   708 42218 116451 54 16 30  0  0
16  0      0 115886864 146432 11647524    0    0     0     0 13246 24572 47  2 51  0  0
30  0      0 115788080 146432 11647532    0    0     0     0 11686 5193 51  1 48  0  0
30  0      0 115776992 146432 11647540    0    0     0     0 16938  692 93  0  7  0  0
16  0      0 118221160 184640 11669352    0    0 43255 84864 23005 36307 20  7 64  9  0
 3  0      0 118209696 146796 11669648    0    0 29049  6248 11445 15357  1  2 97  0  0
 1  0      0 118211008 146512 11669680    0    0  2682     0 4879 3578  0  1 99  0  0
 1  0      0 120630120 146512 9258876    0    0     0     0 2427 1397  0  2 98  0  0
 1  0      0 125104904 146512 4781368    0    0     0     0 1463  453  0  3 97  0  0
