Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.99    0.00    0.96    0.84    0.00   96.21

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           44.75    613.81     0.00   0.00    0.14    13.72   47.06    341.00     0.00   0.00    2.97     7.25    0.00      0.00     0.00   0.00    0.00     0.00   11.14   12.07    0.28  14.25
loop1            8.05     80.82     0.00   0.00    0.06    10.05    5.03     19.21     0.00   0.00    0.30     3.82    0.00      0.00     0.00   0.00    0.00     0.00    0.39    2.94    0.00   0.18
loop10           1.70     13.29     0.00   0.00    0.19     7.80    1.09      4.09     0.00   0.00    0.48     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.10    4.31    0.00   0.06
loop11           1.53     11.93     0.00   0.00    0.37     7.80    0.99      3.68     0.00   0.00    0.48     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.09    4.44    0.00   0.05
loop12           1.03      8.02     0.00   0.00    0.21     7.76    0.66      2.45     0.00   0.00    0.53     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.06    5.12    0.00   0.04
loop13           0.34      2.65     0.00   0.00    0.03     7.83    0.22      0.82     0.00   0.00    0.54     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.02    5.41    0.00   0.01
loop2            7.27     78.66     0.00   0.00    0.08    10.83    4.51     17.17     0.00   0.00    0.31     3.81    0.00      0.00     0.00   0.00    0.00     0.00    0.35    3.00    0.00   0.17
loop3            6.35     59.96     0.00   0.00    0.12     9.44    3.98     15.11     0.00   0.00    0.33     3.80    0.00      0.00     0.00   0.00    0.00     0.00    0.33    3.09    0.00   0.15
loop4            5.18     51.29     0.00   0.00    0.12     9.91    3.23     12.26     0.00   0.00    0.36     3.79    0.00      0.00     0.00   0.00    0.00     0.00    0.27    3.28    0.00   0.13
loop5            4.32     47.47     0.00   0.00    0.18    11.00    2.70     10.21     0.00   0.00    0.37     3.78    0.00      0.00     0.00   0.00    0.00     0.00    0.24    3.33    0.00   0.11
loop6            3.25     29.48     0.00   0.00    0.19     9.08    2.07      7.78     0.00   0.00    0.40     3.76    0.00      0.00     0.00   0.00    0.00     0.00    0.19    3.52    0.00   0.09
loop7            2.56     19.94     0.00   0.00    0.24     7.80    1.63      6.14     0.00   0.00    0.43     3.76    0.00      0.00     0.00   0.00    0.00     0.00    0.16    3.68    0.00   0.08
loop8            2.04     15.95     0.00   0.00    0.28     7.80    1.31      4.91     0.00   0.00    0.43     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.13    3.75    0.00   0.06
loop9            1.69     13.25     0.00   0.00    0.31     7.83    1.09      4.08     0.00   0.00    0.48     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.11    4.10    0.00   0.06
sda              4.45    139.41     1.66  27.16    0.26    31.33  179.61  69816.00   405.64  69.31   12.52   388.71    4.80  23949.60     0.00   0.00    0.17  4988.79    0.00    0.00    2.25  14.76
sdb              0.08      1.43     0.00   0.00    0.19    18.90    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.00    0.00    3.28    0.09    0.00   96.62

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop10           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop11           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop12           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop13           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
