procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 126994712 105996 3022356    0    0    19   362   55   80  0  0 99  0  0
 2  0      0 126452216 106564 3564072    0    0     0     0 1631  452  0  3 97  0  0
 0  2      0 126422240 106744 3592764    0    0  1209 493348 1961  590  0  1 94  5  0
 1  0      0 125984096 106632 4030080    0    0  1172 64240 1920  973  0  3 96  1  0
 0  2      0 125848072 106776 4164796    0    0  1189 389816 1758  650  0  1 96  3  0
 1  0      0 125845008 106656 4164728    0    0  1176 167732 2129 1474  0  0 98  1  0
 1  0      0 125844760 106656 4164732    0    0     0     0  304  115  0  0 100  0  0
 1  0      0 125844760 106656 4164732    0    0     0     0  297  100  0  0 100  0  0
 1  0      0 125844760 106656 4164740    0    0     0     0  366  112  0  0 100  0  0
 1  0      0 125844760 106656 4164744    0    0     0     0  387  166  0  0 100  0  0
 0  0      0 125844760 106664 4164740    0    0     0   304  413  125  0  0 100  0  0
 0  0      0 125844760 106664 4164752    0    0     0     0  230  100  0  0 100  0  0
 0  0      0 125844760 106664 4164756    0    0     0     0  300   83  0  0 100  0  0
 0  0      0 125844760 106664 4164760    0    0     0     0  376  181  0  0 100  0  0
 0  0      0 125844760 106664 4164764    0    0     0     0  359   91  0  0 100  0  0
 3  0      0 125707280 106672 4164880    0    0     0   184 3507 5750  1  2 97  0  0
 2  0      0 125544496 106680 4166024    0    0     0     0 5792 13377  8  2 90  0  0
 2  0      0 125544496 106680 4166024    0    0     0     0 1651  543  6  0 94  0  0
 4  0      0 125531888 106680 4166028    0    0     0     4 2431  594 10  0 90  0  0
 1  0      0 126316888 106736 3704384    0    0  9636 12500 6601 7386  3  2 95  0  0
