procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 126970480 110204 3028968    0    0    21   593   55   77  0  0 99  0  0
 2  0      0 126437512 110204 3561696    0    0     0     0 1849  342  0  3 97  0  0
 2  2      0 126401048 110880 3596088    0    0  5437 480476 2150  817  0  1 91  8  0
 1  0      0 125972904 110228 4028972    0    0   140 77224 2222  778  0  3 96  2  0
 0  2      0 125834560 110372 4167784    0    0  1189 389816 1878  695  0  1 94  4  0
 1  0      0 125509024 110612 4489640    0    0  1176 167764 2070  932  0  2 96  2  0
 1  2      0 125258816 111044 4739872    0    0  1189 290656 1482  612  0  2 95  3  0
 2  0      0 125046664 111188 4951540    0    0  1176 266940 2029  912  0  2 95  3  0
 1  2      0 124686376 111736 5311712    0    0  1189 198164 1457  692  0  2 96  2  0
 1  0      0 124681024 111616 5311544    0    0  1176 359408 3477 2368  0  1 95  4  0
 0  0      0 124681024 111616 5311544    0    0     0     0  293  144  0  0 100  0  0
 0  0      0 124681024 111616 5311544    0    0     0     0  204   70  0  0 100  0  0
 0  0      0 124679736 111616 5311756    0    0     0     0  425  214  0  0 100  0  0
 0  0      0 124679736 111616 5311764    0    0     0     0  196   94  0  0 100  0  0
 0  0      0 124679736 111624 5311756    0    0     0   396  448  161  0  0 100  0  0
 0  0      0 124679736 111624 5311772    0    0     0     0  214   97  0  0 100  0  0
 0  0      0 124679736 111624 5311780    0    0     0     0  352  158  0  0 100  0  0
 0  0      0 124679736 111624 5311780    0    0     0     0  166   75  0  0 100  0  0
 0  0      0 124679736 111624 5311784    0    0     0     0  254   80  0  0 100  0  0
 4  0      0 124561688 111632 5311816    0    0     0   188 2488  864  1  1 98  0  0
 4  0      0 124103264 111668 5315292    0    0     0     0 13098 35569 13  5 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 124062944 111668 5315296    0    0     0     0 3726 3318 12  0 87  0  0
 8  0      0 124034976 111668 5315300    0    0     0     0 3395 1355 15  0 85  0  0
 4  0      0 124685160 124924 5317872    0    0 21600 22752 9242 10022 17  2 81  1  0
 1  0      0 125927056 111756 4078456    0    0  5460  2324 6067 5029  0  2 98  0  0
