procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124707552 307548 4999464    0    0    15  1115   52   58  1  0 98  0  0
 2  0      0 124213496 307556 5499024    0    0     0 202884 3522  892  0  4 95  1  0
 2  0      0 124088336 307568 5625632    0    0  2373 360652 3174 1649  0  1 95  4  0
 1  2      0 123591648 307712 6121984    0    0  1189 50532 1353  662  0  3 96  0  0
 1  2      0 123591392 307712 6121992    0    0     0 498376 1938  377  0  1 94  6  0
 2  0      0 123088656 307584 6624296    0    0  1176 11644 2013 1253  0  3 97  0  0
 1  2      0 123018352 307728 6695460    0    0  1189 443464 1678  694  0  1 94  5  0
 2  0      0 122619936 307604 7094976    0    0  1176 117096 2135  890  0  3 96  1  0
 0  2      0 122446072 307748 7269136    0    0  1189 349228 1909  599  0  2 94  4  0
 2  0      0 122171952 307608 7543740    0    0  1176 211320 2282  939  0  2 96  2  0
 1  2      0 121873840 307752 7842124    0    0  1189 261428 1702  653  0  2 96  2  0
 2  0      0 121720144 307620 8000492    0    0  1176 299112 2324  886  0  1 95  4  0
 0  2      0 121305360 307764 8416140    0    0  1189 137536 1385  620  0  3 96  1  0
 1  0      0 121265312 307636 8457624    0    0  1176 423008 2325 1172  0  1 94  5  0
 0  2      0 120734176 307780 8988976    0    0  1189 33020 1864  708  0  3 97  0  0
 0  2      0 120734176 307780 8989748    0    0     0 489756 1778  328  0  0 94  6  0
 1  0      0 120266712 307784 9456380    0    0  1176 37836 1763  893  0  3 97  1  0
 0  2      0 120161136 307968 9563232    0    0  1189 421104 1695  653  0  1 94  5  0
 1  0      0 119807864 307824 9915680    0    0  1176 139464 2634 1019  0  2 96  2  0
 0  2      0 119587168 307968 10136620    0    0  1189 305160 1842  671  0  2 95  3  0
 1  0      0 119354096 307832 10372496    0    0  1176 255524 2404 1115  0  2 95  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 119013440 307976 10711916    0    0  1189 188708 1400  583  0  2 96  2  0
 1  0      0 118894800 307844 10832536    0    0  1176 371836 2481  980  0  1 95  4  0
 1  1      0 118441496 307988 11286584    0    0  1189 81568 1223  568  0  3 96  1  0
 1  0      0 118436456 307848 11290672    0    0  1176 478972 2174 1096  0  1 94  5  0
 1  0      0 117887920 307848 11838716    0    0     0     0 1411  300  0  3 97  0  0
 0  2      0 117865744 307992 11861280    0    0  1189 483824 2096  648  0  1 94  5  0
 1  0      0 117435384 307852 12292728    0    0  1176 76728 2149  935  0  3 96  1  0
 0  2      0 117291256 307996 12436736    0    0  1189 372548 1787  635  0  1 95  4  0
 1  0      0 116972512 307864 12756160    0    0  1176 188016 2140 1002  0  2 96  2  0
 0  2      0 116718768 308008 13011400    0    0  1189 296144 1462  792  0  2 95  3  0
 1  0      0 116518960 307876 13211280    0    0  1176 264400 2472 1762  0  2 95  3  0
 0  2      0 116143784 308020 13586124    0    0  1189 177104 1484  587  0  2 96  2  0
 1  0      0 116059632 307896 13670192    0    0  1176 383460 2271  920  0  1 94  5  0
 1  1      0 115567328 308212 14161224    0    0  1189 53868 1419  725  0  3 97  1  0
 0  2      0 115567328 308212 14161232    0    0     0 504860 1887  336  0  1 94  6  0
 0  0      0 115546464 308076 14161460    0    0  1176  1812 4760 7574  1  2 98  0  0
 0  0      0 115546272 308076 14161416    0    0     0     0  460  304  0  0 100  0  0
 0  0      0 115546272 308076 14161416    0    0     0     0  398  213  0  0 100  0  0
 0  0      0 115546272 308076 14161416    0    0     0     0  441  164  0  0 100  0  0
 0  0      0 115546272 308076 14161432    0    0     0     0  206   86  0  0 100  0  0
 0  0      0 115546272 308080 14161436    0    0     0   780  582  253  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 115546272 308080 14161448    0    0     0     0  291  137  0  0 100  0  0
 0  0      0 115546272 308080 14161456    0    0     0     0  264   74  0  0 100  0  0
 0  0      0 115546272 308080 14161464    0    0     0     0  233   69  0  0 100  0  0
 0  0      0 115546272 308080 14161468    0    0     0     0  175   70  0  0 100  0  0
31  0      0 111789888 308088 14161532    0    0     0   588 12245 7467 21 15 64  0  0
16  0      0 109177728 308088 14161968    0    0     0     0 24566 20120 46  8 45  0  0
 0  0      0 109173472 308088 14162052    0    0     0     0 18000 21542 39  1 60  0  0
 0  0      0 109172208 308088 14162060    0    0     0     0 1200  557  0  0 100  0  0
