procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124812328 269620 4954176    0    0    13   893   41   45  1  0 99  0  0
 2  0      0 124288136 269620 5479356    0    0     0     0 2196  367  0  3 97  0  0
 1  2      0 124250336 269768 5516004    0    0  1209 483824 1646  554  0  1 94  5  0
 2  0      0 123828744 269636 5939076    0    0  1172 76856 2114 1028  0  3 96  1  0
 1  2      0 123678064 269780 6090252    0    0  1189 366888 1642  604  0  1 95  4  0
 1  0      0 123365848 269660 6404472    0    0  1176 193640 2398 1724  0  2 96  2  0
 1  2      0 123107056 269804 6663600    0    0  1189 294224 1624  560  0  2 95  3  0
 2  0      0 122912008 269684 6863024    0    0  1176 266328 2409  975  0  2 95  3  0
 1  2      0 122537312 269828 7237196    0    0  1189 178280 1333  583  0  2 96  2  0
 2  0      0 122450376 269708 7326696    0    0  1176 382256 2338  915  0  1 94  5  0
 2  1      0 121965776 269852 7810228    0    0  1189 67628 1347  802  0  3 96  1  0
 0  2      0 121965776 269852 7810912    0    0     0 491100 1941  440  0  1 94  6  0
 1  0      0 121440384 269732 8335728    0    0  1176  1796 1803  948  0  3 97  0  0
 0  2      0 121391744 269876 8384912    0    0  1189 483708 1998  650  0  1 94  5  0
 0  0      0 121386976 269756 8384936    0    0  1176 76832 3067 3194  0  1 98  1  0
 0  0      0 121385856 269756 8384968    0    0     0     0  416  240  0  0 100  0  0
 0  0      0 121385856 269756 8384976    0    0     0     0  268  105  0  0 100  0  0
 0  0      0 121385856 269756 8384976    0    0     0     0  227  120  0  0 100  0  0
 0  0      0 121385856 269756 8384988    0    0     0     0  252   90  0  0 100  0  0
 0  0      0 121385856 269764 8384988    0    0     0   564  485  227  0  0 100  0  0
 0  0      0 121385856 269764 8385000    0    0     0     0  333  141  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 121384160 269764 8385008    0    0     0     0 1406  426  0  0 100  0  0
 0  0      0 121383936 269764 8385044    0    0     0     0  243   83  0  0 100  0  0
 0  0      0 121383936 269764 8385048    0    0     0     0  500  234  0  0 100  0  0
12  0      0 119952480 269772 8385196    0    0     0   292 5859 3198  7  5 87  0  0
 6  0      0 119004784 269772 8385268    0    0     0     4 10278 7822 17  3 80  0  0
 0  0      0 119007384 269772 8385284    0    0     0   644 7390 8233 13  1 87  0  0
 0  0      0 119006384 269772 8385288    0    0     0     0  686  334  0  0 100  0  0
 0  0      0 119008448 269772 8385300    0    0     0     0  626  322  0  0 100  0  0
 0  0      0 119007944 269780 8385296    0    0     0   184  544  242  0  0 100  0  0
 0  0      0 119007696 269780 8385316    0    0     0     0 1047  534  0  0 100  0  0
11  0      0 118998304 269956 8386660    0    0     0  6212 26634 53114  7  3 90  0  0
 6  0      0 118861352 269956 8387764    0    0     0     0 27061 40469 25  2 73  0  0
 6  0      0 118860880 269956 8387784    0    0     0     0 4219 1170 19  0 81  0  0
14  0      0 118807376 269956 8387788    0    0     0     0 7913 1856 34  0 66  0  0
 0  0      0 121355296 270324 8397148    0    0 12077 36396 25930 38356  5  3 92  0  0
 0  0      0 121347280 270344 8397764    0    0  9399  1072 5357 5059  0  1 99  0  0
 1  0      0 124251312 270344 5508080    0    0     0     0 2510 1142  0  2 98  0  0
