Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.91    0.00    0.45    0.38    0.00   98.26

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           19.05    278.58     0.00   0.00    0.16    14.62   13.46     98.72     0.00   0.00    4.75     7.34    0.00      0.00     0.00   0.00    0.00     0.00    3.45   18.08    0.13   6.56
loop1            2.11     26.57     0.00   0.00    0.06    12.61    1.01      3.67     0.00   0.00    0.28     3.62    0.00      0.00     0.00   0.00    0.00     0.00    0.16    1.31    0.00   0.05
loop10           0.58      5.75     0.00   0.00    0.11     9.89    0.30      1.07     0.00   0.00    0.42     3.55    0.00      0.00     0.00   0.00    0.00     0.00    0.05    2.17    0.00   0.02
loop11           0.48      4.43     0.00   0.00    0.20     9.27    0.27      0.96     0.00   0.00    0.44     3.60    0.00      0.00     0.00   0.00    0.00     0.00    0.04    2.58    0.00   0.01
loop12           0.34      3.24     0.00   0.00    0.13     9.44    0.20      0.74     0.00   0.00    0.48     3.64    0.00      0.00     0.00   0.00    0.00     0.00    0.03    3.20    0.00   0.01
loop13           0.21      1.75     0.00   0.00    0.03     8.35    0.13      0.48     0.00   0.00    0.47     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.01    3.64    0.00   0.01
loop14           0.14      1.19     0.00   0.00    0.06     8.33    0.09      0.35     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.07      0.50     0.00   0.00    0.12     7.30    0.05      0.17     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.00    3.70    0.00   0.00
loop2            1.86     24.88     0.00   0.00    0.07    13.41    0.90      3.24     0.00   0.00    0.29     3.62    0.00      0.00     0.00   0.00    0.00     0.00    0.14    1.45    0.00   0.04
loop3            1.65     18.49     0.00   0.00    0.09    11.18    0.81      2.91     0.00   0.00    0.30     3.60    0.00      0.00     0.00   0.00    0.00     0.00    0.13    1.49    0.00   0.04
loop4            1.42     15.81     0.00   0.00    0.09    11.11    0.69      2.46     0.00   0.00    0.32     3.58    0.00      0.00     0.00   0.00    0.00     0.00    0.11    1.52    0.00   0.03
loop5            1.23     14.56     0.00   0.00    0.12    11.86    0.60      2.12     0.00   0.00    0.33     3.56    0.00      0.00     0.00   0.00    0.00     0.00    0.10    1.55    0.00   0.03
