Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.75    0.00    0.40    0.34    0.00   98.52

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           17.15    250.10     0.00   0.00    0.16    14.58   14.12    104.32     0.00   0.00    4.04     7.39    0.00      0.00     0.00   0.00    0.00     0.00    3.56   15.57    0.12   5.85
loop1            2.02     25.32     0.00   0.00    0.06    12.56    1.01      3.72     0.00   0.00    0.29     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.14    1.53    0.00   0.05
loop10           0.55      5.21     0.00   0.00    0.12     9.40    0.30      1.09     0.00   0.00    0.44     3.60    0.00      0.00     0.00   0.00    0.00     0.00    0.04    2.46    0.00   0.02
loop11           0.48      4.28     0.00   0.00    0.21     9.00    0.27      1.00     0.00   0.00    0.45     3.63    0.00      0.00     0.00   0.00    0.00     0.00    0.04    2.77    0.00   0.02
loop12           0.36      3.43     0.00   0.00    0.13     9.44    0.21      0.78     0.00   0.00    0.48     3.64    0.00      0.00     0.00   0.00    0.00     0.00    0.03    3.20    0.00   0.01
loop13           0.22      1.85     0.00   0.00    0.03     8.35    0.14      0.51     0.00   0.00    0.47     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.02    3.64    0.00   0.01
loop14           0.15      1.26     0.00   0.00    0.06     8.33    0.10      0.37     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.07      0.53     0.00   0.00    0.12     7.30    0.05      0.18     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.00    3.70    0.00   0.00
loop2            1.79     22.93     0.00   0.00    0.07    12.83    0.91      3.31     0.00   0.00    0.30     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.13    1.66    0.00   0.04
loop3            1.57     17.10     0.00   0.00    0.09    10.88    0.81      2.96     0.00   0.00    0.32     3.65    0.00      0.00     0.00   0.00    0.00     0.00    0.12    1.73    0.00   0.04
loop4            1.32     14.22     0.00   0.00    0.09    10.75    0.68      2.48     0.00   0.00    0.34     3.63    0.00      0.00     0.00   0.00    0.00     0.00    0.10    1.81    0.00   0.03
