procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124794800 271200 4955876    0    0    13   900   41   46  1  0 99  0  0
 2  0      0 124279744 271200 5473992    0    0     0     0 1945  433  0  3 97  0  0
 1  2      0 124239056 271344 5518168    0    0 11733 476352 2139 1147  0  1 94  5  0
 2  0      0 123840160 271220 5917596    0    0  1176 84408 1911  938  0  2 96  1  0
 1  2      0 123665280 271364 6091768    0    0  1189 348264 1519  613  0  1 95  4  0
 1  0      0 123375472 271244 6380756    0    0  1176 212312 2373 1766  0  2 95  3  0
 1  2      0 123090720 271388 6665352    0    0  1189 262592 1450  600  0  2 95  3  0
 2  0      0 122929936 271268 6828652    0    0  1176 297952 2511 1248  0  1 95  4  0
 1  2      0 122519688 271412 7238988    0    0  1189 137536 1664  601  0  3 96  1  0
 2  0      0 122471568 271292 7287800    0    0  1176 423136 2426 1025  0  1 94  5  0
 2  1      0 121947152 271436 7811848    0    0  1189 33272 1558  627  0  3 97  0  0
 0  2      0 121947152 271436 7812520    0    0     0 505144 1350  275  0  1 94  6  0
 1  0      0 121455248 271308 8303380    0    0  1176 22104 1792 2049  0  3 97  0  0
 0  2      0 121372856 271452 8386304    0    0  1189 431940 1970  737  0  1 94  5  0
 0  0      0 121370064 271328 8386112    0    0  1176 128592 2928 3209  0  1 97  2  0
 0  0      0 121370064 271328 8386124    0    0     0     0  394  182  0  0 100  0  0
 0  0      0 121369392 271328 8386148    0    0     0     0  324  137  0  0 100  0  0
 0  0      0 121369392 271328 8386156    0    0     0     0  406  164  0  0 100  0  0
 0  0      0 121371328 271328 8386160    0    0     0     0  323  116  0  0 100  0  0
 0  0      0 121371328 271336 8386160    0    0     0   568  508  215  0  0 100  0  0
 0  0      0 121371328 271336 8386172    0    0     0     0  294   90  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 121371328 271336 8386176    0    0     0     0  348  157  0  0 100  0  0
 0  0      0 121371328 271336 8386184    0    0     0     0  196   80  0  0 100  0  0
 0  0      0 121371328 271336 8386192    0    0     0     0  329   89  0  0 100  0  0
 6  0      0 120082544 271348 8386256    0    0     0   288 5130 3143  7  5 89  0  0
 6  0      0 118990032 271348 8386416    0    0     0     0 10012 8032 17  4 79  0  0
 0  0      0 118990032 271348 8386428    0    0     0     0 7889 8224 14  1 86  0  0
 0  0      0 118989792 271348 8386448    0    0     0     0  784  278  0  0 100  0  0
 0  0      0 118993472 271348 8386460    0    0     0     0  509  274  0  0 100  0  0
 0  0      0 118993472 271356 8386464    0    0     0   944  978  482  0  0 100  0  0
 0  0      0 118993216 271356 8386472    0    0     0     0  990  511  0  0 100  0  0
13  0      0 118983096 271404 8386484    0    0     0   160 13186 46599  5  2 93  0  0
 6  0      0 118839088 271560 8387756    0    0     0  4516 35756 50446 26  2 72  0  0
 6  0      0 118838336 271560 8387772    0    0     0     0 4216 1101 19  0 81  0  0
12  0      0 118793872 271560 8387780    0    0     0     0 7431 1893 33  1 67  0  0
 0  0      0 121343760 271836 8400144    0    0  2762 35908 32362 35662  7  3 89  0  0
 0  0      0 121345840 271876 8399984    0    0 17682  1800 6537 8259  0  2 98  0  0
 1  0      0 124177040 271876 5573704    0    0     0     0 2494 1468  0  2 98  0  0
