Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.04    0.00    0.48    0.41    0.00   98.07

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           20.35    295.83     0.00   0.00    0.15    14.54   13.19     96.40     0.00   0.00    5.21     7.31    0.00      0.00     0.00   0.00    0.00     0.00    3.42   19.67    0.14   7.06
loop1            2.13     26.87     0.00   0.00    0.06    12.59    1.01      3.64     0.00   0.00    0.27     3.60    0.00      0.00     0.00   0.00    0.00     0.00    0.17    1.23    0.00   0.05
loop10           0.63      6.42     0.00   0.00    0.11    10.26    0.31      1.08     0.00   0.00    0.41     3.49    0.00      0.00     0.00   0.00    0.00     0.00    0.05    1.87    0.00   0.02
loop11           0.52      5.08     0.00   0.00    0.19     9.73    0.28      0.98     0.00   0.00    0.42     3.54    0.00      0.00     0.00   0.00    0.00     0.00    0.04    2.13    0.00   0.02
loop12           0.39      3.90     0.00   0.00    0.12    10.05    0.21      0.76     0.00   0.00    0.45     3.57    0.00      0.00     0.00   0.00    0.00     0.00    0.03    2.45    0.00   0.01
loop13           0.22      1.96     0.00   0.00    0.04     8.78    0.13      0.48     0.00   0.00    0.45     3.62    0.00      0.00     0.00   0.00    0.00     0.00    0.02    2.99    0.00   0.01
loop14           0.14      1.16     0.00   0.00    0.06     8.33    0.09      0.34     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.00
loop15           0.07      0.49     0.00   0.00    0.12     7.30    0.05      0.17     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.00    3.70    0.00   0.00
loop2            1.90     26.02     0.00   0.00    0.07    13.71    0.90      3.23     0.00   0.00    0.29     3.59    0.00      0.00     0.00   0.00    0.00     0.00    0.15    1.34    0.00   0.04
loop3            1.69     18.97     0.00   0.00    0.09    11.22    0.81      2.91     0.00   0.00    0.30     3.58    0.00      0.00     0.00   0.00    0.00     0.00    0.14    1.37    0.00   0.04
loop4            1.47     16.66     0.00   0.00    0.09    11.30    0.70      2.47     0.00   0.00    0.32     3.55    0.00      0.00     0.00   0.00    0.00     0.00    0.12    1.38    0.00   0.04
loop5            1.29     15.69     0.00   0.00    0.12    12.13    0.61      2.14     0.00   0.00    0.32     3.53    0.00      0.00     0.00   0.00    0.00     0.00    0.11    1.39    0.00   0.03
loop6            1.07     12.39     0.00   0.00    0.11    11.62    0.51      1.76     0.00   0.00    0.35     3.48    0.00      0.00     0.00   0.00    0.00     0.00    0.10    1.39    0.00   0.03
loop7            0.90      9.44     0.00   0.00    0.13    10.43    0.43      1.48     0.00   0.00    0.37     3.46    0.00      0.00     0.00   0.00    0.00     0.00    0.09    1.45    0.00   0.02
loop8            0.80      8.64     0.00   0.00    0.14    10.85    0.37      1.28     0.00   0.00    0.37     3.43    0.00      0.00     0.00   0.00    0.00     0.00    0.08    1.45    0.00   0.02
loop9            0.66      6.79     0.00   0.00    0.17    10.26    0.32      1.12     0.00   0.00    0.40     3.46    0.00      0.00     0.00   0.00    0.00     0.00    0.06    1.69    0.00   0.02
sda              0.62     19.75     0.23  26.94    0.28    32.01   92.55  34863.03   149.90  61.83   12.06   376.70    0.66   3284.51     0.00   0.00    0.17  4988.79    0.00    0.00    1.12   7.30
sdb              0.01      0.20     0.00   0.00    0.24    14.91    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.00    0.00    3.78    0.91    0.00   95.31

