procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124688568 309140 5001252    0    0    15  1126   52   58  1  0 98  0  0
 2  0      0 124192464 309148 5498060    0    0     0 209612 3453  885  0  4 95  1  0
 2  0      0 124064704 309172 5626568    0    0  2365 353796 2814 1518  0  1 95  4  0
 1  2      0 123569520 309316 6121860    0    0  1189 33236 1356  662  0  3 97  0  0
 1  2      0 123569520 309316 6122736    0    0     0 508092 1833  340  0  1 94  6  0
 1  0      0 123080640 309188 6612804    0    0  1176 19232 1814 1023  0  3 97  0  0
 0  2      0 123001760 309332 6696332    0    0  1189 431456 1963  661  0  1 94  5  0
 2  0      0 122618976 309196 7080360    0    0  1176 129088 2018 1002  0  2 96  1  0
 1  2      0 122430480 309340 7269936    0    0  1189 339000 1677  586  0  1 95  4  0
 2  0      0 122169152 309216 7534152    0    0  1176 221520 2228  933  0  2 95  3  0
 1  1      0 121860208 309360 7843736    0    0  1189 220652 1559  606  0  2 96  2  0
 1  0      0 121723120 309228 7979560    0    0  1176 339872 2187  959  0  1 95  4  0
 0  2      0 121285392 309392 8417096    0    0  1189 109788 1287  592  0  3 96  1  0
 1  0      0 121265992 309264 8436064    0    0  1176 450740 2403 1094  0  1 94  5  0
 1  0      0 120712848 309264 8988832    0    0     0     0 1423  357  0  3 97  0  0
 0  2      0 120711840 309408 8990700    0    0  1189 504420 2090  674  0  1 94  6  0
 1  0      0 120247912 309272 9454020    0    0  1176 56116 2109  946  0  3 97  1  0
 1  1      0 120138080 309416 9564236    0    0  1189 404632 2045  689  0  1 94  5  0
 1  0      0 119787040 309288 9914788    0    0  1176 155992 2135  949  0  2 96  2  0
 0  2      0 119562768 309432 10138072    0    0  1189 301848 1601  621  0  2 95  3  0
 1  0      0 119333720 309304 10370392    0    0  1176 258696 2627 1180  0  2 95  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 118991536 309448 10712384    0    0  1189 188708 1579  567  0  2 96  2  0
