Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.07    0.00    0.49    0.41    0.00   98.02

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           20.71    300.18     0.00   0.00    0.15    14.49   13.12     95.82     0.00   0.00    5.33     7.30    0.00      0.00     0.00   0.00    0.00     0.00    3.41   20.08    0.14   7.19
loop1            2.15     27.14     0.00   0.00    0.06    12.60    1.01      3.64     0.00   0.00    0.27     3.59    0.00      0.00     0.00   0.00    0.00     0.00    0.17    1.20    0.00   0.05
loop10           0.63      6.45     0.00   0.00    0.11    10.26    0.31      1.08     0.00   0.00    0.40     3.49    0.00      0.00     0.00   0.00    0.00     0.00    0.06    1.82    0.00   0.02
loop11           0.52      5.04     0.00   0.00    0.19     9.73    0.27      0.97     0.00   0.00    0.42     3.54    0.00      0.00     0.00   0.00    0.00     0.00    0.04    2.13    0.00   0.02
loop12           0.39      3.88     0.00   0.00    0.12    10.05    0.21      0.76     0.00   0.00    0.45     3.57    0.00      0.00     0.00   0.00    0.00     0.00    0.03    2.45    0.00   0.01
loop13           0.22      1.95     0.00   0.00    0.04     8.78    0.13      0.48     0.00   0.00    0.45     3.62    0.00      0.00     0.00   0.00    0.00     0.00    0.02    2.99    0.00   0.01
loop14           0.14      1.16     0.00   0.00    0.06     8.33    0.09      0.33     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.00
loop15           0.07      0.49     0.00   0.00    0.12     7.30    0.05      0.17     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.00    3.70    0.00   0.00
loop2            1.92     26.38     0.00   0.00    0.07    13.75    0.90      3.24     0.00   0.00    0.28     3.59    0.00      0.00     0.00   0.00    0.00     0.00    0.15    1.30    0.00   0.04
loop3            1.72     19.41     0.00   0.00    0.09    11.31    0.82      2.92     0.00   0.00    0.30     3.57    0.00      0.00     0.00   0.00    0.00     0.00    0.14    1.33    0.00   0.04
loop4            1.49     17.37     0.00   0.00    0.09    11.63    0.70      2.47     0.00   0.00    0.31     3.54    0.00      0.00     0.00   0.00    0.00     0.00    0.13    1.34    0.00   0.04
loop5            1.31     15.80     0.00   0.00    0.11    12.10    0.61      2.15     0.00   0.00    0.32     3.52    0.00      0.00     0.00   0.00    0.00     0.00    0.11    1.34    0.00   0.03
loop6            1.09     12.64     0.00   0.00    0.11    11.64    0.51      1.77     0.00   0.00    0.35     3.47    0.00      0.00     0.00   0.00    0.00     0.00    0.10    1.34    0.00   0.03
loop7            0.92      9.63     0.00   0.00    0.13    10.51    0.43      1.49     0.00   0.00    0.37     3.45    0.00      0.00     0.00   0.00    0.00     0.00    0.09    1.41    0.00   0.02
