procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124790696 274168 4958576    0    0    13   917   42   47  1  0 98  0  0
 2  0      0 124281408 274168 5471648    0    0     0     0 2202  395  0  3 97  0  0
 2  1      0 124232272 274312 5520264    0    0  1189 476336 2243  611  0  1 94  5  0
 2  0      0 123824816 274188 5926452    0    0  1176 84636 2075  931  0  3 96  1  0
 2  1      0 123657992 274332 6093948    0    0  1189 349352 1876  614  0  1 95  4  0
 2  0      0 123372992 274204 6383524    0    0  1176 211176 2198 1170  0  2 96  2  0
 0  2      0 123088480 274348 6667124    0    0  1189 261472 1783  784  0  2 95  3  0
 2  0      0 122915608 274208 6841784    0    0  1176 299048 2270 1025  0  1 95  3  0
 1  2      0 122516704 274352 7240732    0    0  1189 141808 1657  653  0  2 96  1  0
 3  0      0 122457488 274224 7298696    0    0  1176 418748 2352  975  0  1 94  5  0
 1  2      0 121942152 274368 7813712    0    0  1189 33272 1402  649  0  3 97  0  0
 1  2      0 121941648 274368 7814796    0    0     0 507872 1792  339  0  1 94  6  0
 1  0      0 121453520 274248 8304468    0    0  1176 19380 1844 1002  0  3 97  0  0
 0  2      0 121370112 274392 8387996    0    0  1189 431456 1783  597  0  1 94  5  0
 1  0      0 120989112 274272 8767768    0    0  1176 129076 2248 1124  0  2 96  2  0
 0  2      0 120794624 274416 8962808    0    0  1189 336668 1612  668  0  2 96  3  0
 1  0      0 120530592 274296 9227424    0    0  1176 223876 2640 1156  0  2 96  2  0
 1  1      0 120220416 274440 9537572    0    0  1189 228740 1305  531  0  2 96  2  0
 0  0      0 120216392 274320 9537812    0    0  1176 331804 4206 4138  0  1 94  4  0
 0  0      0 120216392 274320 9537820    0    0     0     0  263  161  0  0 100  0  0
 0  0      0 120216696 274320 9537820    0    0     0     0  536  254  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 120216904 274320 9537836    0    0     0     0  260  132  0  0 100  0  0
 0  0      0 120216904 274320 9537844    0    0     0     0  316  113  0  0 100  0  0
 0  0      0 120216664 274328 9537840    0    0     0   696  530  224  0  0 100  0  0
 0  0      0 120216664 274328 9537856    0    0     0     0  365  156  0  0 100  0  0
 0  0      0 120216664 274328 9537860    0    0     0     0  354   96  0  0 100  0  0
 0  0      0 120216664 274328 9537860    0    0     0     0  343   76  0  0 100  0  0
 0  0      0 120216664 274328 9537876    0    0     0     0  323  102  0  0 100  0  0
 8  0      0 119201592 274340 9537876    0    0     0   224 4219 1695  2  2 96  0  0
 8  0      0 117118872 274340 9537960    0    0     0     0 6927 4005 19  8 72  0  0
 8  0      0 117034752 274340 9538224    0    0     0     0 14273 11722 24  2 74  0  0
 0  0      0 117033240 274340 9538232    0    0     0     0 5151 9451  5  1 95  0  0
 0  0      0 117032736 274340 9538232    0    0     0     0  756  426  0  0 100  0  0
 0  0      0 117033456 274344 9538248    0    0     0  1096  929  527  0  0 100  0  0
 0  0      0 117030456 274344 9538256    0    0     0     0 1102  413  0  0 100  0  0
 0  0      0 117029952 274344 9538264    0    0     0     0  996  694  0  0 100  0  0
10  0      0 116898944 274588 9542840    0    0     0 10664 68709 118369 30  6 64  0  0
 9  0      0 116828144 274588 9544132    0    0     0     0 6720 6998 25  0 75  0  0
16  0      0 116782560 274588 9544292    0    0     0     0 7580 2918 32  0 68  0  0
 3  0      0 118493824 274884 9554104    0    0  4278 43712 41744 41408 35  3 62  0  0
 0  0      0 120198528 274968 9555444    0    0 15646  5256 6761 11854  0  2 98  0  0
 0  0      0 120200160 274968 9555676    0    0 10696     0 7067 5971  0  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 123989568 274968 5765308    0    0     0     0 1851  760  0  3 97  0  0
