procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124835368 246832 4943124    0    0    13   926   41   46  1  0 98  0  0
 2  0      0 124320344 246832 5460740    0    0     0     0 2314  411  0  3 97  0  0
 1  3      0 124277536 247056 5501864    0    0  2641 482080 2281  834  0  1 93  6  0
 2  0      0 123870048 246844 5912624    0    0  1096 77144 6463 12607  0  3 96  2  0
 0  2      0 123709024 246988 6073896    0    0  1189 356788 1730  593  0  1 95  4  0
 2  0      0 123415952 246860 6368524    0    0  1176 201816 2353  957  0  2 96  2  0
 1  2      0 123139008 247004 6645444    0    0  1189 292276 1494  584  0  2 95  3  0
 2  0      0 122949248 246868 6836024    0    0  1176 266316 2705 1238  0  2 95  4  0
 1  2      0 122568728 247012 7217048    0    0  1189 175432 1314  603  0  2 96  2  0
 2  0      0 122480288 246872 7304612    0    0  1176 383164 2539 1106  0  1 94  5  0
 0  2      0 121996720 247016 7788672    0    0  1189 74904 1462  648  0  3 97  1  0
 2  1      0 121996720 247132 7788572    0    0   136 482676 2045  692  0  1 94  6  0
 1  0      0 121470592 247132 8316648    0    0  1040  1036 1521  845  0  3 97  0  0
 0  2      0 121426496 247276 8361364    0    0  1189 481892 2022  613  0  1 94  5  0
 1  0      0 120999688 247340 8786472    0    0  1176 76716 2121 1159  0  3 96  1  0
 0  2      0 120853048 247520 8934228    0    0  1189 373584 1861  865  0  1 95  4  0
 1  0      0 120533552 247384 9255804    0    0  1176 185020 2447 1088  0  2 95  2  0
 0  2      0 120281840 247528 9507104    0    0  1189 294332 1636  767  0  2 95  3  0
 1  0      0 120078240 247652 9709808    0    0  1176 264256 2351  981  0  2 95  3  0
 0  2      0 119706088 248048 10080080    0    0  1189 175776 1619  647  0  2 96  2  0
 1  0      0 119612128 247912 10176672    0    0  1176 382824 2186  930  0  1 94  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 119135408 248056 10652508    0    0  1189 73524 1173  842  0  3 96  1  0
 0  0      0 119136160 247924 10653300    0    0  1176 485116 2105  964  0  0 94  6  0
 1  0      0 118607776 248080 11182000    0    0     0     0 1680  477  0  3 97  0  0
 0  2      0 118564688 248224 11225812    0    0  1189 481776 1890  579  0  1 94  5  0
 1  0      0 118144912 248096 11646668    0    0  1176 76860 2278 1380  0  3 96  1  0
 0  2      0 117992736 248240 11798784    0    0  1189 373584 1726  594  0  1 95  4  0
 1  0      0 117673744 248108 12118612    0    0  1176 185056 2026 1044  0  2 96  2  0
 0  2      0 117420264 248252 12371500    0    0  1189 292344 1364  559  0  2 95  3  0
 1  0      0 117217432 248116 12575728    0    0  1176 266308 2195  963  0  2 95  3  0
 0  2      0 116848800 248536 12944228    0    0  1189 176428 1579  576  0  2 96  2  0
 1  0      0 116758600 248396 13033332    0    0  1176 382184 2611 1370  0  1 94  4  0
 0  2      0 116274096 248540 13517200    0    0  1189 74904 1167  612  0  3 97  1  0
 0  0      0 116272088 248412 13517720    0    0  1176 483784 2280 1193  0  0 94  6  0
 0  0      0 116259168 248412 13517580    0    0     0     0 4214 6748  1  1 98  0  0
 0  0      0 116259056 248412 13517608    0    0     0     0  437  312  0  0 100  0  0
 0  0      0 116258608 248412 13517612    0    0     0     0  473  174  0  0 100  0  0
 0  0      0 116260368 248412 13517616    0    0     0     0  623  231  0  0 100  0  0
 0  0      0 116260368 248412 13517616    0    0     0     0  295  100  0  0 100  0  0
 0  0      0 116259920 248416 13517628    0    0     0   872  516  270  0  0 100  0  0
 0  0      0 116259680 248416 13517640    0    0     0     0  155   93  0  0 100  0  0
 0  0      0 116259680 248416 13517648    0    0     0     0  158   94  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 116259680 248416 13517652    0    0     0     4  170   85  0  0 100  0  0
 0  0      0 116259680 248416 13517656    0    0     0     0  278  136  0  0 100  0  0
28  0      0 112566048 248420 13518024    0    0     0   536 12745 7457 22 15 62  0  0
15  0      0 110272360 248420 13518152    0    0     0     0 22854 18334 42  8 50  0  0
 0  0      0 110269352 248420 13518196    0    0     0     0 16073 19791 34  1 65  0  0
 0  0      0 110268904 248420 13518208    0    0     0     0 1133  517  0  0 100  0  0
 0  0      0 110268144 248420 13518212    0    0     0     0 1264  647  0  0 100  0  0
 0  0      0 110267648 248424 13518216    0    0     0  1440 1644  751  0  0 100  0  0
 0  0      0 110267648 248424 13518228    0    0     0     0 1772 1057  0  0 100  0  0
26  0      0 110256464 248484 13518172    0    0     0   360 40307 107464 11  5 84  0  0
18  0      0 109953872 248976 13534864    0    0     0 55168 145435 153844 71 11 17  0  0
 0  0      0 116211520 249372 13540880    0    0 24503 31044 38218 63206  4  6 90  0  0
 0  0      0 116214576 249400 13540968    0    0 19625  2308 7696 9258  0  2 98  0  0
 2  0      0 116216256 249400 13540608    0    0  8022     0 5748 4819  0  1 99  0  0
 1  0      0 117029456 249400 12727092    0    0     0     0 3199 2049  0  1 99  0  0
 1  0      0 121534176 249400 8232600    0    0     0     0 1396  493  0  3 97  0  0
