Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.64    0.00    0.33    0.29    0.00   98.74

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           14.66    208.10     0.00   0.00    0.14    14.19   17.26    127.30     0.00   0.00    2.79     7.37    0.00      0.00     0.00   0.00    0.00     0.00    4.24   10.91    0.10   4.91
loop1            2.09     25.07     0.00   0.00    0.06    11.98    1.18      4.41     0.00   0.00    0.31     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.12    2.31    0.00   0.05
loop10           0.53      4.13     0.00   0.00    0.13     7.82    0.34      1.26     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.47    0.00   0.02
loop11           0.49      3.92     0.00   0.00    0.25     7.98    0.32      1.19     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.56    0.00   0.02
loop12           0.39      3.08     0.00   0.00    0.14     7.83    0.26      0.95     0.00   0.00    0.51     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.83    0.00   0.01
loop13           0.26      2.05     0.00   0.00    0.03     7.83    0.17      0.64     0.00   0.00    0.48     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.66    0.00   0.01
loop14           0.20      1.64     0.00   0.00    0.06     8.33    0.13      0.47     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.09      0.69     0.00   0.00    0.12     7.30    0.06      0.24     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.01    3.70    0.00   0.00
loop2            1.90     22.24     0.00   0.00    0.07    11.72    1.07      4.00     0.00   0.00    0.32     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.11    2.38    0.00   0.05
loop3            1.69     17.69     0.00   0.00    0.10    10.47    0.96      3.57     0.00   0.00    0.34     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.10    2.47    0.00   0.04
loop4            1.42     14.49     0.00   0.00    0.10    10.19    0.81      2.99     0.00   0.00    0.36     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.09    2.59    0.00   0.04
loop5            1.21     13.73     0.00   0.00    0.14    11.30    0.69      2.57     0.00   0.00    0.37     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.08    2.69    0.00   0.03
loop6            0.97     10.01     0.00   0.00    0.14    10.30    0.56      2.08     0.00   0.00    0.42     3.69    0.00      0.00     0.00   0.00    0.00     0.00    0.07    2.83    0.00   0.03
loop7            0.80      6.82     0.00   0.00    0.17     8.54    0.47      1.73     0.00   0.00    0.44     3.69    0.00      0.00     0.00   0.00    0.00     0.00    0.05    3.10    0.00   0.02
loop8            0.66      5.50     0.00   0.00    0.19     8.38    0.40      1.47     0.00   0.00    0.45     3.69    0.00      0.00     0.00   0.00    0.00     0.00    0.04    3.40    0.00   0.02
loop9            0.55      4.45     0.00   0.00    0.25     8.11    0.35      1.28     0.00   0.00    0.48     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.04    3.89    0.00   0.02
sda              0.87     27.81     0.32  26.97    0.26    32.06   65.74  24116.80   143.18  68.53   11.77   366.87    0.93   4624.59     0.00   0.00    0.17  4988.79    0.00    0.00    0.77   5.12
sdb              0.02      0.28     0.00   0.00    0.23    16.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.00    0.00    3.19    0.00    0.00   96.81

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
