procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124935664 208860 4902788    0    0    10   656   30   32  1  0 99  0  0
 2  0      0 124410000 208860 5428964    0    0     0     0 2059  373  0  3 97  0  0
 1  2      0 124364128 209340 5472836    0    0 12317 481776 1612 1209  0  1 94  5  0
 2  0      0 123949360 208880 5886744    0    0   840 77052 2398 1664  0  3 96  1  0
 1  2      0 123792112 209024 6044096    0    0  1189 360744 1767  688  0  1 95  4  0
 1  0      0 123495760 208900 6339820    0    0  1176 197848 2213 1027  0  2 96  2  0
 2  1      0 123218320 209044 6615956    0    0  1189 251384 1785  660  0  2 95  3  0
 2  0      0 123038928 208920 6795932    0    0  1176 307308 2687 1905  0  2 95  4  0
 1  2      0 122645600 209064 7189048    0    0  1189 143652 1473  628  0  2 96  2  0
 2  0      0 122579496 208936 7256092    0    0  1176 414948 2335 1617  0  1 94  5  0
 0  2      0 122075056 209080 7760972    0    0  1189 50436 1403  594  0  3 97  0  0
 1  1      0 122074800 209080 7761956    0    0     0 501428 1815  352  0  1 94  6  0
 1  0      0 121554704 208960 8287284    0    0  1176  6748 1787  980  0  3 97  0  0
 0  2      0 121507072 209104 8334604    0    0  1189 481776 1498  612  0  1 94  5  0
 0  0      0 121504360 208984 8334576    0    0  1176 76824 3223 3916  0  1 98  1  0
 0  0      0 121504360 208984 8334584    0    0     0     0  304  137  0  0 100  0  0
 0  0      0 121503632 208984 8334780    0    0     0     0  450  197  0  0 100  0  0
 0  0      0 121503632 208984 8334784    0    0     0     0  302  141  0  0 100  0  0
 0  0      0 121503632 208984 8334784    0    0     0     0  450  126  0  0 100  0  0
 0  0      0 121503128 208992 8334792    0    0     0   548  668  273  0  0 100  0  0
 0  0      0 121503128 208992 8334804    0    0     0     0  326  159  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 121503128 208992 8334816    0    0     0     0  264  110  0  0 100  0  0
 0  0      0 121503128 208992 8334820    0    0     0     0  388  105  0  0 100  0  0
 0  0      0 121503128 208992 8334832    0    0     0     0  260   82  0  0 100  0  0
12  0      0 120053440 209000 8334952    0    0     0   700 5864 3450  8  6 87  0  0
 6  0      0 119105976 209000 8335036    0    0     0     0 10187 8269 17  3 80  0  0
 0  0      0 119109920 209000 8335048    0    0     0     0 7060 8206 13  1 87  0  0
 0  0      0 119108912 209000 8335052    0    0     0     0  573  262  0  0 100  0  0
 0  0      0 119107904 209000 8335060    0    0     0     0  707  407  0  0 100  0  0
 0  0      0 119107392 209008 8335072    0    0     0   188  742  274  0  0 100  0  0
 0  0      0 119107144 209008 8335076    0    0     0   460 1085  556  0  0 100  0  0
15  0      0 119094992 209200 8339492    0    0     0  8316 21138 50666  7  2 90  0  0
 0  0      0 121486032 209584 8343912    0    0     0 26204 54448 78169 18  4 78  0  0
 0  0      0 121476288 209640 8343976    0    0 22508  2428 7150 10337  0  2 97  0  0
 1  0      0 124185736 209640 5638160    0    0     0     0 2633 1389  0  2 98  0  0
