procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124920904 209656 4903300    0    0    11   662   30   32  1  0 99  0  0
 2  0      0 124395992 209656 5432500    0    0     0     0 1897  367  0  3 97  0  0
 1  2      0 124355168 209800 5472684    0    0  1193 481776 2081  689  0  1 94  5  0
 2  0      0 123938384 209680 5890548    0    0  1176 77048 2068 1209  0  2 96  1  0
 0  2      0 123785840 209824 6045036    0    0  1189 362364 1713  611  0  1 94  4  0
 2  0      0 123484952 209704 6347816    0    0  1176 196224 2294 1568  0  2 96  2  0
 0  2      0 123216320 209848 6616596    0    0  1189 294212 1719  657  0  2 95  3  0
 2  0      0 123021808 209728 6810348    0    0  1176 264376 2304  953  0  2 95  3  0
 1  2      0 122642328 209872 7188856    0    0  1189 175172 1479  668  0  2 96  2  0
 2  0      0 122556656 209752 7275608    0    0  1176 383468 2291 1091  0  1 94  5  0
 1  1      0 122070880 209896 7761468    0    0  1189 73524 1593  669  0  3 97  1  0
 2  0      0 122069888 210044 7762000    0    0   140 484060 1837  429  0  0 94  6  0
 1  0      0 121551616 209776 8280288    0    0  1036  1044 1628  865  0  3 97  0  0
 0  2      0 121499456 209920 8334972    0    0  1189 459204 2233  724  0  1 94  5  0
 0  0      0 121497704 209800 8335016    0    0  1176 99496 2973 3205  0  1 98  1  0
 0  0      0 121497136 209800 8335056    0    0     0     0  312  171  0  0 100  0  0
 0  0      0 121497136 209800 8335056    0    0     0     0  368  118  0  0 100  0  0
 0  0      0 121497136 209800 8335064    0    0     0     0  292  132  0  0 100  0  0
 0  0      0 121497136 209800 8335068    0    0     0     0  319  160  0  0 100  0  0
 0  0      0 121497136 209808 8335072    0    0     0   548  494  204  0  0 100  0  0
 0  0      0 121497136 209808 8335088    0    0     0     0  185   54  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 121497136 209808 8335088    0    0     0     0  212   53  0  0 100  0  0
 0  0      0 121497136 209808 8335100    0    0     0     0  323  188  0  0 100  0  0
 0  0      0 121497136 209808 8335100    0    0     0     0  232   62  0  0 100  0  0
12  0      0 120031536 209816 8335348    0    0     0   296 5747 3201  8  6 87  0  0
 6  0      0 119094880 209816 8335400    0    0     0     0 9723 7699 17  3 80  0  0
 0  0      0 119094128 209816 8335428    0    0     0     0 6819 7550 12  1 87  0  0
 0  0      0 119093616 209816 8335432    0    0     0     4  681  321  0  0 100  0  0
 0  0      0 119093120 209816 8335436    0    0     0     0  791  299  0  0 100  0  0
 0  0      0 119093120 209824 8335440    0    0     0   768  885  352  0  0 100  0  0
 0  0      0 119093120 209824 8335456    0    0     0     0  945  587  0  0 100  0  0
11  0      0 119078848 210012 8337752    0    0     0  7144 25936 49407  8  3 89  0  0
 0  0      0 121487608 210372 8344524    0    0     0 25780 57213 78129 19  4 77  0  0
 0  0      0 121482000 210436 8345620    0    0 21476  2448 7480 10474  0  2 97  0  0
 1  0      0 124569440 210436 5261680    0    0     0     0 2333 1230  0  2 98  0  0
