procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124962584 201784 4895764    0    0    10   616   28   30  1  0 99  0  0
 2  0      0 124434912 201784 5423924    0    0     0     0 2119  379  0  3 97  0  0
 1  3      0 124391568 202516 5467172    0    0  5501 481892 1843  861  0  1 91  8  0
 2  0      0 123977024 201800 5881452    0    0   144 76776 1869  797  0  3 96  2  0
 1  2      0 123820080 201944 6038708    0    0  1189 360744 1646  722  0  1 95  4  0
 1  0      0 123817728 201824 6038748    0    0  1176 197876 2514 1502  0  0 97  2  0
 1  0      0 123817232 201824 6038756    0    0     0     0  378  157  0  0 100  0  0
 1  0      0 123816520 201824 6038764    0    0     0     0  467  188  0  0 100  0  0
 1  0      0 123817280 201824 6038772    0    0     0     0  530  150  0  0 100  0  0
 1  0      0 123817280 201824 6038780    0    0     0     0  273  133  0  0 100  0  0
 1  0      0 123817280 201832 6038776    0    0     0   496  561  255  0  0 100  0  0
 0  0      0 123817536 201832 6038796    0    0     0     0  213   98  0  0 100  0  0
 0  0      0 123815824 201832 6038800    0    0     0     0  626  203  0  0 100  0  0
 0  0      0 123815824 201832 6038800    0    0     0     0  382  121  0  0 100  0  0
 0  0      0 123816080 201832 6038816    0    0     0     0  319  154  0  0 100  0  0
 2  0      0 123411552 201840 6038820    0    0     0   180 2360 1033  2  1 97  0  0
 2  0      0 123018800 201840 6038888    0    0     0     0 3802 2896  6  1 93  0  0
 0  0      0 123018040 201840 6038900    0    0     0   488 3222 3161  5  0 95  0  0
 0  0      0 123018040 201840 6038908    0    0     0     0  576  247  0  0 100  0  0
 0  0      0 123018040 201840 6038916    0    0     0     0  723  275  0  0 100  0  0
 0  0      0 123018040 201848 6038920    0    0     0   136  454  150  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 123018288 201848 6038932    0    0     0     0  534  234  0  0 100  0  0
 4  0      0 123014704 201864 6038932    0    0     0    72 5101 12503  1  1 98  0  0
 0  0      0 123811040 202028 6041940    0    0     0 10084 25029 30510  7  2 91  0  0
 1  0      0 124036192 202068 5810844    0    0  6468  1144 4483 3682  0  1 99  0  0
