procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124910480 213472 4905376    0    0    11   688   31   34  1  0 99  0  0
 2  0      0 124383320 213472 5433076    0    0     0     0 2378  472  0  3 97  0  0
 1  2      0 124342000 213616 5475120    0    0  1197 481892 2110  645  0  1 94  5  0
 2  0      0 123927456 213496 5891936    0    0  1176 76952 1882 1143  0  3 96  1  0
 1  2      0 123772488 213640 6046660    0    0  1189 364956 1818  633  0  1 95  4  0
 2  0      0 123464800 213520 6358980    0    0  1176 193672 1809  970  0  2 96  2  0
 0  2      0 123204992 213664 6618220    0    0  1189 292344 1477  571  0  2 95  3  0
 1  0      0 123002272 213544 6822516    0    0  1176 266252 2437  941  0  2 95  3  0
 1  2      0 122634400 213688 7190500    0    0  1189 176428 1541  558  0  2 96  2  0
 2  0      0 122537896 213564 7287920    0    0  1176 382176 2376  970  0  1 94  4  0
 1  2      0 122060432 213964 7763620    0    0  1189 75104 2032  645  0  3 96  1  0
 1  0      0 122059176 213844 7763620    0    0  1176 483500 2180  865  0  1 94  6  0
 1  0      0 121511160 213844 8312488    0    0     0     0 1585  447  0  3 97  0  0
 0  2      0 121488224 213988 8335856    0    0  1189 496088 2271  723  0  1 94  5  0
 1  0      0 121051392 213868 8775416    0    0  1176 62616 2575 1065  0  3 96  1  0
 0  2      0 120916832 214012 8909396    0    0  1189 388500 1925  573  0  1 95  4  0
 1  0      0 120589272 213892 9237000    0    0  1176 170188 2148  940  0  2 96  2  0
 0  2      0 120344864 214040 9482176    0    0  1189 294332 1975  666  0  2 95  3  0
 0  0      0 120338464 213920 9482404    0    0  1176 264320 4351 4245  0  1 96  3  0
 0  0      0 120338464 213920 9482412    0    0     0     0  329  147  0  0 100  0  0
 0  0      0 120339024 213920 9482444    0    0     0     0  261  131  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 120339024 213920 9482448    0    0     0     0  457  185  0  0 100  0  0
 0  0      0 120341200 213920 9482460    0    0     0     0  398  121  0  0 100  0  0
 0  0      0 120341200 213928 9482460    0    0     0   664  516  237  0  0 100  0  0
 0  0      0 120341200 213928 9482468    0    0     0     0  341   86  0  0 100  0  0
 0  0      0 120341200 213928 9482484    0    0     0     0  316  162  0  0 100  0  0
 0  0      0 120341200 213928 9482492    0    0     0     0  376   80  0  0 100  0  0
 0  0      0 120341200 213928 9482496    0    0     0     0  304   82  0  0 100  0  0
 8  0      0 118976552 213940 9482508    0    0     0   244 4709 1547  4  2 94  0  0
 9  0      0 117199368 213940 9482772    0    0     0     0 7473 5172 18  9 73  0  0
 8  0      0 117180720 213940 9482812    0    0     0     0 13545 9825 25  1 74  0  0
 0  0      0 117179488 213940 9482820    0    0     0     0 4840 8043  2  1 97  0  0
 0  0      0 117178976 213940 9482824    0    0     0     0  685  381  0  0 100  0  0
 0  0      0 117177984 213948 9482832    0    0     0  1060  880  604  0  0 100  0  0
 0  0      0 117177488 213948 9482840    0    0     0     0 1126  281  0  0 100  0  0
 0  0      0 117176728 213948 9482856    0    0     0     0 1061  619  0  0 100  0  0
11  0      0 117021328 214292 9488196    0    0     0 14380 71158 128530 33  6 61  0  0
 0  0      0 120323536 214868 9494992    0    0 17573 31872 44497 54845  6  5 89  0  0
 0  0      0 120324864 214868 9494348    0    0  9359     0 6566 5421  0  1 99  0  0
 1  0      0 124069424 214868 5751004    0    0     0     0 2030  828  0  3 97  0  0
