procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124946176 205076 4899152    0    0    10   632   29   31  1  0 99  0  0
 2  0      0 124417984 205076 5429360    0    0     0     0 2100  381  0  3 97  0  0
 1  2      0 124375472 205220 5469992    0    0  1189 481776 1917  690  0  1 94  5  0
 2  0      0 123958672 205096 5886056    0    0  1176 77040 2352 1722  0  3 96  1  0
 2  1      0 123803712 205240 6041496    0    0  1189 358200 1660  607  0  1 95  4  0
 1  0      0 123497792 205112 6350480    0    0  1176 200392 2466 1278  0  2 96  2  0
 0  2      0 123234744 205312 6613840    0    0  1189 294212 1675  610  0  2 95  3  0
 2  0      0 123042904 205188 6812144    0    0  1176 264380 2755 1386  0  2 95  3  0
 1  2      0 122669240 205332 7186668    0    0  1189 175172 1538  612  0  2 96  2  0
 1  0      0 122666224 205200 7187156    0    0  1176 383424 3731 2595  0  1 94  5  0
 0  0      0 122665944 205200 7187164    0    0     0     0  305  145  0  0 100  0  0
 0  0      0 122665456 205200 7186888    0    0     0     0  477  204  0  0 100  0  0
 0  0      0 122665456 205200 7186896    0    0     0     0  225  128  0  0 100  0  0
 0  0      0 122665960 205200 7186904    0    0     0     0  367  104  0  0 100  0  0
 0  0      0 122666208 205204 7186908    0    0     0   508  428  163  0  0 100  0  0
 0  0      0 122666208 205204 7186916    0    0     0     0  495  152  0  0 100  0  0
 0  0      0 122666208 205204 7186924    0    0     0     0  183   82  0  0 100  0  0
 0  0      0 122666208 205204 7186928    0    0     0     0  331   89  0  0 100  0  0
 0  0      0 122666208 205204 7186936    0    0     0     0  273  102  0  0 100  0  0
 4  0      0 122233768 205212 7186944    0    0     0   172 2450 1026  1  1 99  0  0
 4  0      0 121174224 205212 7187056    0    0     0     0 3604 2062 10  4 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 121081368 205212 7187112    0    0     0     0 7296 5906 12  1 87  0  0
 0  0      0 121080384 205212 7187124    0    0     0     0 3053 4401  3  0 97  0  0
 0  0      0 121080384 205212 7187128    0    0     0     0  599  285  0  0 100  0  0
 0  0      0 121080632 205220 7187128    0    0     0   212  612  228  0  0 100  0  0
 0  0      0 121080128 205220 7187144    0    0     0   576  836  285  0  0 100  0  0
 0  0      0 121079880 205220 7187152    0    0     0     0  657  353  0  0 100  0  0
 4  0      0 121000944 205380 7188380    0    0     0  3600 31784 58344 14  3 83  0  0
 4  0      0 122650144 208876 7191520    0    0  7420 17576 18710 26221  3  2 95  0  0
 1  0      0 123969024 205688 5878500    0    0  5512  1708 6219 5415  0  2 98  0  0
