Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.58    0.00    0.29    0.25    0.00   98.88

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           12.81    179.23     0.00   0.00    0.13    13.99   18.11    134.15     0.00   0.00    2.28     7.41    0.00      0.00     0.00   0.00    0.00     0.00    4.39    8.95    0.08   4.20
loop1            2.03     22.36     0.00   0.00    0.06    11.03    1.20      4.53     0.00   0.00    0.32     3.79    0.00      0.00     0.00   0.00    0.00     0.00    0.11    2.72    0.00   0.05
loop10           0.56      4.35     0.00   0.00    0.13     7.82    0.36      1.33     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.47    0.00   0.02
loop11           0.52      4.14     0.00   0.00    0.25     7.98    0.34      1.25     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.56    0.00   0.02
loop12           0.42      3.26     0.00   0.00    0.14     7.83    0.27      1.00     0.00   0.00    0.51     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.83    0.00   0.02
loop13           0.28      2.16     0.00   0.00    0.03     7.83    0.18      0.67     0.00   0.00    0.48     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.66    0.00   0.01
loop14           0.21      1.73     0.00   0.00    0.06     8.33    0.14      0.50     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.10      0.73     0.00   0.00    0.12     7.30    0.07      0.25     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.01    3.70    0.00   0.00
loop2            1.81     20.30     0.00   0.00    0.07    11.20    1.08      4.09     0.00   0.00    0.33     3.78    0.00      0.00     0.00   0.00    0.00     0.00    0.10    2.87    0.00   0.04
loop3            1.59     16.04     0.00   0.00    0.10    10.09    0.96      3.63     0.00   0.00    0.35     3.78    0.00      0.00     0.00   0.00    0.00     0.00    0.09    3.04    0.00   0.04
loop4            1.31     12.65     0.00   0.00    0.11     9.68    0.80      3.03     0.00   0.00    0.38     3.77    0.00      0.00     0.00   0.00    0.00     0.00    0.07    3.34    0.00   0.03
loop5            1.09     11.87     0.00   0.00    0.15    10.91    0.68      2.58     0.00   0.00    0.39     3.77    0.00      0.00     0.00   0.00    0.00     0.00    0.06    3.65    0.00   0.03
loop6            0.87      8.42     0.00   0.00    0.15     9.66    0.56      2.09     0.00   0.00    0.44     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.05    3.79    0.00   0.03
loop7            0.73      5.69     0.00   0.00    0.18     7.79    0.47      1.75     0.00   0.00    0.46     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.04    3.99    0.00   0.02
loop8            0.62      4.87     0.00   0.00    0.20     7.81    0.40      1.50     0.00   0.00    0.46     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.04    4.08    0.00   0.02
loop9            0.55      4.33     0.00   0.00    0.26     7.84    0.36      1.33     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.25    0.00   0.02
sda              0.91     29.31     0.34  26.99    0.26    32.04   56.59  20629.62   143.39  71.70   11.71   364.55    0.98   4880.71     0.00   0.00    0.17  4988.79    0.00    0.00    0.66   4.41
sdb              0.02      0.29     0.00   0.00    0.23    16.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    3.19    0.00    0.00   96.78

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
