Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.66    0.00    0.35    0.30    0.00   98.69

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           15.19    215.24     0.00   0.00    0.14    14.17   17.07    125.74     0.00   0.00    2.94     7.37    0.00      0.00     0.00   0.00    0.00     0.00    4.20   11.46    0.10   5.11
loop1            2.10     25.13     0.00   0.00    0.06    11.97    1.17      4.38     0.00   0.00    0.31     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.12    2.23    0.00   0.05
loop10           0.55      4.42     0.00   0.00    0.13     8.09    0.34      1.26     0.00   0.00    0.48     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.09    0.00   0.02
loop11           0.49      3.87     0.00   0.00    0.25     7.98    0.31      1.17     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.56    0.00   0.02
loop12           0.39      3.05     0.00   0.00    0.14     7.83    0.25      0.94     0.00   0.00    0.51     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.83    0.00   0.01
loop13           0.26      2.02     0.00   0.00    0.03     7.83    0.17      0.63     0.00   0.00    0.48     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.66    0.00   0.01
loop14           0.19      1.62     0.00   0.00    0.06     8.33    0.13      0.47     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.09      0.68     0.00   0.00    0.12     7.30    0.06      0.24     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.01    3.70    0.00   0.00
loop2            1.92     23.39     0.00   0.00    0.07    12.21    1.06      3.97     0.00   0.00    0.32     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.11    2.30    0.00   0.05
loop3            1.71     18.02     0.00   0.00    0.10    10.55    0.95      3.55     0.00   0.00    0.33     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.10    2.38    0.00   0.04
loop4            1.45     14.91     0.00   0.00    0.10    10.31    0.80      2.98     0.00   0.00    0.36     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.09    2.47    0.00   0.04
loop5            1.24     14.09     0.00   0.00    0.14    11.37    0.69      2.56     0.00   0.00    0.37     3.69    0.00      0.00     0.00   0.00    0.00     0.00    0.08    2.54    0.00   0.03
loop6            1.00     10.41     0.00   0.00    0.13    10.42    0.57      2.08     0.00   0.00    0.41     3.67    0.00      0.00     0.00   0.00    0.00     0.00    0.07    2.65    0.00   0.03
loop7            0.83      7.26     0.00   0.00    0.16     8.78    0.47      1.74     0.00   0.00    0.44     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.06    2.86    0.00   0.02
loop8            0.69      5.96     0.00   0.00    0.18     8.67    0.40      1.48     0.00   0.00    0.44     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.05    3.09    0.00   0.02
loop9            0.58      4.92     0.00   0.00    0.24     8.48    0.35      1.29     0.00   0.00    0.47     3.67    0.00      0.00     0.00   0.00    0.00     0.00    0.04    3.47    0.00   0.02
sda              0.86     27.46     0.32  26.97    0.26    32.06   68.16  25124.55   142.77  67.69   11.83   368.60    0.92   4566.21     0.00   0.00    0.17  4988.79    0.00    0.00    0.81   5.33
sdb              0.02      0.27     0.00   0.00    0.23    16.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    3.16    0.00    0.00   96.81

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop10           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop11           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop12           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop13           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop14           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop15           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop2            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop3            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop4            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
